image_id,split,sat_image_path,mask_path,urban_land,agriculture_land,rangeland,forest_land,water,barren_land,unknown
541060,train,image_datasets/deepglobe_land/train/541060_sat.jpg,image_datasets/deepglobe_land/train/541060_mask.png,1,1,1,1,1,1,0
324170,train,image_datasets/deepglobe_land/train/324170_sat.jpg,image_datasets/deepglobe_land/train/324170_mask.png,1,0,0,0,0,1,0
604647,train,image_datasets/deepglobe_land/train/604647_sat.jpg,image_datasets/deepglobe_land/train/604647_mask.png,1,1,0,0,0,1,1
238322,train,image_datasets/deepglobe_land/train/238322_sat.jpg,image_datasets/deepglobe_land/train/238322_mask.png,1,1,1,0,0,0,0
635841,train,image_datasets/deepglobe_land/train/635841_sat.jpg,image_datasets/deepglobe_land/train/635841_mask.png,1,1,1,0,0,1,0
625296,train,image_datasets/deepglobe_land/train/625296_sat.jpg,image_datasets/deepglobe_land/train/625296_mask.png,0,1,0,0,0,1,0
491696,train,image_datasets/deepglobe_land/train/491696_sat.jpg,image_datasets/deepglobe_land/train/491696_mask.png,1,1,1,1,0,0,0
470446,train,image_datasets/deepglobe_land/train/470446_sat.jpg,image_datasets/deepglobe_land/train/470446_mask.png,1,1,1,0,1,0,1
910525,train,image_datasets/deepglobe_land/train/910525_sat.jpg,image_datasets/deepglobe_land/train/910525_mask.png,1,0,0,0,0,1,0
619800,train,image_datasets/deepglobe_land/train/619800_sat.jpg,image_datasets/deepglobe_land/train/619800_mask.png,1,1,1,1,0,1,0
29419,train,image_datasets/deepglobe_land/train/29419_sat.jpg,image_datasets/deepglobe_land/train/29419_mask.png,1,1,1,0,1,1,0
181447,train,image_datasets/deepglobe_land/train/181447_sat.jpg,image_datasets/deepglobe_land/train/181447_mask.png,1,0,1,0,0,0,0
714414,train,image_datasets/deepglobe_land/train/714414_sat.jpg,image_datasets/deepglobe_land/train/714414_mask.png,0,1,0,1,0,1,0
300745,train,image_datasets/deepglobe_land/train/300745_sat.jpg,image_datasets/deepglobe_land/train/300745_mask.png,1,1,1,0,1,0,0
321711,train,image_datasets/deepglobe_land/train/321711_sat.jpg,image_datasets/deepglobe_land/train/321711_mask.png,0,1,0,0,1,1,1
946386,train,image_datasets/deepglobe_land/train/946386_sat.jpg,image_datasets/deepglobe_land/train/946386_mask.png,1,1,1,0,1,0,0
291214,train,image_datasets/deepglobe_land/train/291214_sat.jpg,image_datasets/deepglobe_land/train/291214_mask.png,1,1,1,1,1,0,0
820543,train,image_datasets/deepglobe_land/train/820543_sat.jpg,image_datasets/deepglobe_land/train/820543_mask.png,1,1,0,0,0,0,0
585043,train,image_datasets/deepglobe_land/train/585043_sat.jpg,image_datasets/deepglobe_land/train/585043_mask.png,0,1,0,0,1,0,0
866782,train,image_datasets/deepglobe_land/train/866782_sat.jpg,image_datasets/deepglobe_land/train/866782_mask.png,1,1,1,1,0,0,0
102122,train,image_datasets/deepglobe_land/train/102122_sat.jpg,image_datasets/deepglobe_land/train/102122_mask.png,0,1,1,0,1,0,0
626323,train,image_datasets/deepglobe_land/train/626323_sat.jpg,image_datasets/deepglobe_land/train/626323_mask.png,1,1,0,0,0,0,0
273274,train,image_datasets/deepglobe_land/train/273274_sat.jpg,image_datasets/deepglobe_land/train/273274_mask.png,1,1,0,0,0,0,0
671164,train,image_datasets/deepglobe_land/train/671164_sat.jpg,image_datasets/deepglobe_land/train/671164_mask.png,0,1,0,0,1,1,0
504704,train,image_datasets/deepglobe_land/train/504704_sat.jpg,image_datasets/deepglobe_land/train/504704_mask.png,1,1,1,0,1,1,1
27460,train,image_datasets/deepglobe_land/train/27460_sat.jpg,image_datasets/deepglobe_land/train/27460_mask.png,1,1,1,1,0,0,0
537221,train,image_datasets/deepglobe_land/train/537221_sat.jpg,image_datasets/deepglobe_land/train/537221_mask.png,1,1,0,0,1,1,0
232373,train,image_datasets/deepglobe_land/train/232373_sat.jpg,image_datasets/deepglobe_land/train/232373_mask.png,1,1,1,0,1,0,0
245846,train,image_datasets/deepglobe_land/train/245846_sat.jpg,image_datasets/deepglobe_land/train/245846_mask.png,0,1,0,0,1,1,0
903649,train,image_datasets/deepglobe_land/train/903649_sat.jpg,image_datasets/deepglobe_land/train/903649_mask.png,1,0,1,0,1,1,0
